X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.00120116 1.11607e-05 4.25376 4.25392
0.000376525 0.00286333 1.71041e-05 4.25361 4.25408
0.000613858 0.00537447 2.46507e-05 4.25293 4.25405
0.000851483 0.00806164 3.34312e-05 4.25191 4.25411
0.00108931 0.0105028 4.29347e-05 4.25042 4.25404
0.00132727 0.0126642 5.2595e-05 4.2484 4.25362
0.00156534 0.0148558 6.19877e-05 4.24577 4.25298
0.00180349 0.0174004 7.08385e-05 4.24252 4.25155
0.0020417 0.0203511 7.91933e-05 4.23861 4.24937
0.00227996 0.023762 8.72331e-05 4.23401 4.24646
0.00251826 0.0277001 9.50686e-05 4.22868 4.24275
0.00275659 0.03224 0.000102709 4.22256 4.23818
0.00299495 0.0374638 0.000110069 4.21557 4.23265
0.00323333 0.0434603 0.000116984 4.20762 4.22603
0.00347172 0.0503227 0.000123256 4.1986 4.21816
0.00371014 0.0581473 0.000128713 4.18838 4.20889
0.00394857 0.067026 0.000133266 4.17681 4.19805
0.00418701 0.0770433 0.000136921 4.16369 4.18545
0.00442546 0.0882573 0.000139752 4.14884 4.17093
0.00466392 0.100709 0.000141894 4.13196 4.15411
0.00490238 0.114388 0.000143507 4.11282 4.13492
0.00514086 0.12926 0.000144749 4.09104 4.11299
0.00537934 0.145212 0.000145762 4.06629 4.08801
0.00561783 0.162109 0.000146667 4.03814 4.05955
0.00585632 0.179737 0.000147554 4.0062 4.02726
0.00609482 0.197873 0.000148485 3.97002 3.99068
0.00633332 0.216259 0.000149482 3.92922 3.94944
0.00657182 0.234622 0.000150527 3.88336 3.90312
0.00681033 0.252768 0.000151561 3.83212 3.8514
0.00704884 0.270433 0.00015247 3.77501 3.79376
0.00728736 0.28759 0.000153113 3.71171 3.72988
0.00752587 0.30403 0.000153287 3.64132 3.65884
0.00776439 0.319961 0.000152787 3.56276 3.57957
0.00800291 0.335213 0.000151296 3.4749 3.49086
0.00824144 0.350157 0.000148574 3.37279 3.38778
0.00847996 0.364636 0.000144167 3.25709 3.2709
0.00871849 0.378966 0.000137667 3.10961 3.12208
0.00895702 0.393058 0.000128433 2.93384 2.94483
0.00919555 0.407577 0.000116954 2.66372 2.67252
0.00943408 0.424011 0.000107302 2.23305 2.23822
