X vol_f_Field2 diameter_Field2
0.000139645 0.648564 0.000928105
0.000376525 0.648618 0.000926365
0.000613858 0.648666 0.000922986
0.000851483 0.64875 0.000918072
0.00108931 0.648877 0.000911667
0.00132727 0.649061 0.000903844
0.00156534 0.649299 0.000894672
0.00180349 0.649617 0.00088424
0.0020417 0.64998 0.000872635
0.00227996 0.650457 0.000859958
0.00251826 0.650984 0.000846298
0.00275659 0.651635 0.000831756
0.00299495 0.652356 0.000816418
0.00323333 0.653228 0.000800384
0.00347172 0.654177 0.000783731
0.00371014 0.655299 0.000766551
0.00394857 0.656489 0.000748907
0.00418701 0.657871 0.00073087
0.00442546 0.659259 0.000712449
0.00466392 0.660804 0.000693718
0.00490238 0.662292 0.000674702
0.00514086 0.663962 0.00065548
0.00537934 0.66557 0.00063603
0.00561783 0.667472 0.000616419
0.00585632 0.6692 0.000596594
0.00609482 0.671308 0.00057659
0.00633332 0.673127 0.000556324
0.00657182 0.675401 0.000535773
0.00681033 0.677265 0.000514873
0.00704884 0.679809 0.000493421
0.00728736 0.681697 0.00047149
0.00752587 0.684425 0.000448528
0.00776439 0.686434 0.000424841
0.00800291 0.689425 0.000399257
0.00824144 0.691666 0.000372465
0.00847996 0.695124 0.000342275
0.00871849 0.697732 0.000309248
0.00895702 0.702349 0.000269482
0.00919555 0.705062 0.000221335
0.00943408 0.712816 0.000162312
