X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.131081 0.00022886 4.90991 4.96101
0.000376525 0.132141 0.000246435 4.90905 4.96469
0.000613858 0.13401 0.000258166 4.9071 4.96561
0.000851483 0.136717 0.00026669 4.90427 4.96468
0.00108931 0.140294 0.00027397 4.90045 4.96231
0.00132727 0.144734 0.000280993 4.89558 4.95871
0.00156534 0.150041 0.000288321 4.88959 4.95395
0.00180349 0.156186 0.000296307 4.88238 4.94802
0.0020417 0.163152 0.000305196 4.87383 4.94086
0.00227996 0.170863 0.000315149 4.8638 4.93237
0.00251826 0.179285 0.000326268 4.85214 4.92242
0.00275659 0.188257 0.000338561 4.83869 4.91085
0.00299495 0.197714 0.000351967 4.8233 4.8975
0.00323333 0.207534 0.000366315 4.80584 4.88218
0.00347172 0.217627 0.000381335 4.78622 4.86473
0.00371014 0.227828 0.000396633 4.76453 4.84506
0.00394857 0.238105 0.000411757 4.74098 4.82209
0.00418701 0.248256 0.000426181 4.71522 4.79569
0.00442546 0.258339 0.000439452 4.68691 4.76635
0.00466392 0.268264 0.000451122 4.656 4.73429
0.00490238 0.278003 0.000460876 4.62238 4.69952
0.00514086 0.287479 0.000468456 4.58601 4.66199
0.00537934 0.296726 0.000473793 4.54671 4.62158
0.00561783 0.30565 0.000476809 4.50445 4.57821
0.00585632 0.314351 0.000477616 4.45889 4.5316
0.00609482 0.322707 0.000476204 4.41005 4.48171
0.00633332 0.330893 0.000472769 4.35721 4.42787
0.00657182 0.338733 0.000467254 4.30068 4.37034
0.00681033 0.346454 0.000459869 4.23874 4.30745
0.00704884 0.353926 0.000450452 4.17293 4.24063
0.00728736 0.361367 0.000439182 4.09854 4.16522
0.00752587 0.368516 0.000425639 4.02085 4.08626
0.00776439 0.375743 0.000409906 3.92911 3.99234
0.00800291 0.382853 0.000391281 3.83694 3.89586
0.00824144 0.390249 0.000369941 3.71119 3.76536
0.00847996 0.397686 0.000344578 3.58959 3.6376
0.00871849 0.405329 0.000315093 3.39862 3.44085
0.00895702 0.413134 0.00027862 3.2188 3.25611
0.00919555 0.421858 0.000234848 2.87978 2.91172
0.00943408 0.433719 0.000184112 2.40082 2.42077
