X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.219642 0.000291515 5.21088 5.27563
0.000376525 0.220565 0.000315357 5.20883 5.27975
0.000613858 0.222155 0.000333108 5.20579 5.28109
0.000851483 0.224353 0.000347937 5.20155 5.28031
0.00108931 0.227247 0.000362213 5.19594 5.27785
0.00132727 0.230759 0.000377025 5.18888 5.27391
0.00156534 0.234892 0.000392901 5.18034 5.26857
0.00180349 0.239565 0.000410005 5.17043 5.26142
0.0020417 0.244751 0.000428282 5.15923 5.25103
0.00227996 0.250419 0.000447504 5.14639 5.23788
0.00251826 0.256537 0.0004673 5.13176 5.22245
0.00275659 0.263006 0.000487158 5.11522 5.20489
0.00299495 0.269806 0.000506493 5.09667 5.18522
0.00323333 0.276849 0.000524684 5.07605 5.16343
0.00347172 0.284023 0.000541164 5.05326 5.13944
0.00371014 0.291346 0.00055545 5.02823 5.11319
0.00394857 0.298745 0.000567205 5.00088 5.08464
0.00418701 0.306152 0.000576241 4.97117 5.05371
0.00442546 0.313484 0.000582521 4.93899 5.02033
0.00466392 0.320778 0.000586114 4.9043 4.98445
0.00490238 0.327991 0.00058718 4.86696 4.94593
0.00514086 0.335051 0.000585888 4.8269 4.90472
0.00537934 0.342011 0.000582465 4.78391 4.8606
0.00561783 0.348787 0.000577064 4.73795 4.81354
0.00585632 0.355467 0.000569888 4.68855 4.76306
0.00609482 0.361946 0.000561007 4.63588 4.70935
0.00633332 0.368353 0.000550574 4.57886 4.6513
0.00657182 0.374562 0.000538551 4.51832 4.5898
0.00681033 0.380737 0.000525054 4.45156 4.52206
0.00704884 0.386745 0.000509909 4.38162 4.45124
0.00728736 0.392769 0.000493209 4.30118 4.36989
0.00752587 0.398697 0.000474575 4.21975 4.2876
0.00776439 0.404694 0.000454073 4.118 4.18482
0.00800291 0.410706 0.000430962 4.0217 4.08701
0.00824144 0.416873 0.000405281 3.88613 3.94764
0.00847996 0.423296 0.000375871 3.76452 3.8202
0.00871849 0.429922 0.000342973 3.55735 3.60733
0.00895702 0.43689 0.000304386 3.37102 3.41532
0.00919555 0.444984 0.000261903 2.9923 3.02938
0.00943408 0.454111 0.00022291 2.48928 2.51394
