position alpha diamSauter vitessemesuree
0.000183 0.0629 0.000444 4.5
0.00038 0.064 0.000443 4.48
0.000573 0.0636 0.000442 4.47
0.000767 0.0649 0.000442 4.45
0.000962 0.0644 0.000441 4.44
0.001158 0.0645 0.000441 4.43
0.00135 0.0664 0.000442 4.41
0.001545 0.0688 0.000441 4.4
0.001738 0.072 0.000442 4.38
0.001931 0.0755 0.000445 4.37
0.002122 0.0782 0.000445 4.35
0.002317 0.0816 0.000444 4.33
0.00251 0.0869 0.000446 4.32
0.002701 0.0912 0.000448 4.3
0.002892 0.0971 0.000447 4.28
0.003083 0.1005 0.000448 4.27
0.003275 0.1043 0.000447 4.25
0.003467 0.1095 0.000447 4.23
0.003657 0.114 0.000446 4.21
0.003846 0.1211 0.000446 4.19
0.004037 0.1263 0.000443 4.17
0.004225 0.1364 0.000443 4.15
0.004415 0.1408 0.000441 4.13
0.004607 0.1447 0.000438 4.11
0.004796 0.1489 0.000435 4.08
0.004983 0.1619 0.000433 4.06
0.005171 0.166 0.00043 4.04
0.005359 0.1725 0.000424 4.01
0.005545 0.1791 0.000421 3.99
0.005732 0.1897 0.000414 3.96
0.005917 0.1958 0.00041 3.93
0.006099 0.2021 0.000403 3.9
0.006294 0.2132 0.000397 3.87
0.006479 0.2197 0.000389 3.84
0.006662 0.2197 0.000381 3.81
0.006845 0.2343 0.000373 3.77
0.00703 0.2409 0.000364 3.73
0.007212 0.2509 0.000354 3.7
0.007394 0.2509 0.000343 3.65
0.007578 0.2565 0.000331 3.61
0.007761 0.265 0.000321 3.56
0.007941 0.2785 0.000308 3.51
0.008124 0.2829 0.000293 3.45
0.008307 0.2881 0.000277 3.39
0.008487 0.2926 0.000261 3.31
0.008668 0.297 0.000243 3.23
0.00885 0.3087 0.000226 3.13
0.00903 0.3152 0.000203 3.01
0.009199 0.3116 0.000176 2.86
