X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.0119229 3.59345e-05 4.232 4.23573
0.000376525 0.0126473 5.62039e-05 4.22941 4.23678
0.000613858 0.0135696 7.31225e-05 4.22128 4.23093
0.000851483 0.0147968 8.73847e-05 4.22621 4.23979
0.00108931 0.0163349 0.000100245 4.21937 4.23602
0.00132727 0.0182061 0.000112217 4.21604 4.23484
0.00156534 0.0204425 0.000123505 4.21521 4.23639
0.00180349 0.0230913 0.000134147 4.20811 4.23153
0.0020417 0.0261905 0.000144117 4.20105 4.22632
0.00227996 0.0297968 0.000153425 4.19418 4.22117
0.00251826 0.0339577 0.000162144 4.18587 4.21447
0.00275659 0.0387538 0.000170433 4.17643 4.20649
0.00299495 0.0442257 0.000178509 4.16602 4.19743
0.00323333 0.0504662 0.00018664 4.15436 4.18711
0.00347172 0.0575057 0.000195117 4.14132 4.17543
0.00371014 0.0654308 0.00020425 4.12681 4.16238
0.00394857 0.0742418 0.000214333 4.11069 4.14788
0.00418701 0.083994 0.000225613 4.09273 4.13175
0.00442546 0.0946125 0.000238289 4.07271 4.11373
0.00466392 0.106098 0.000252498 4.0504 4.09357
0.00490238 0.118297 0.000268244 4.02555 4.07104
0.00514086 0.131104 0.000285382 3.99791 4.04584
0.00537934 0.144317 0.000303559 3.96723 4.01773
0.00561783 0.157718 0.000322205 3.93342 3.98649
0.00585632 0.171175 0.000340602 3.8963 3.95183
0.00609482 0.184412 0.000357882 3.85588 3.91361
0.00633332 0.197476 0.000373287 3.81184 3.8714
0.00657182 0.210094 0.000386044 3.76443 3.82491
0.00681033 0.222537 0.000395755 3.71253 3.77267
0.00704884 0.234531 0.000401937 3.65592 3.71534
0.00728736 0.246362 0.000404538 3.59247 3.65113
0.00752587 0.257779 0.000403189 3.52396 3.58176
0.00776439 0.26908 0.000397953 3.44443 3.50131
0.00800291 0.280009 0.000388331 3.36103 3.41656
0.00824144 0.291151 0.000374414 3.25599 3.30854
0.00847996 0.302217 0.000355394 3.14452 3.19254
0.00871849 0.313732 0.000330951 2.98639 3.02995
0.00895702 0.325308 0.000298865 2.81648 2.85547
0.00919555 0.338231 0.00025893 2.53146 2.56503
0.00943408 0.354519 0.000212121 2.09716 2.11874
