X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 4.60535e-08 1e-05 4.07836 4.07836
0.000376525 2.13755e-07 1e-05 4.07805 4.07809
0.000613858 1.49158e-06 1e-05 4.07702 4.07708
0.000851483 1.13212e-05 1e-05 4.07554 4.07561
0.00108931 8.84787e-05 1e-05 4.07358 4.07366
0.00132727 0.000504198 1.31646e-05 4.0712 4.07138
0.00156534 0.00175791 2.07306e-05 4.06843 4.06897
0.00180349 0.00381045 2.9588e-05 4.06528 4.06659
0.0020417 0.0060922 3.94519e-05 4.06168 4.06423
0.00227996 0.00826124 4.93686e-05 4.05752 4.06152
0.00251826 0.0104553 5.87386e-05 4.05267 4.05846
0.00275659 0.0130025 6.73029e-05 4.04708 4.05458
0.00299495 0.0160695 7.51996e-05 4.0407 4.04974
0.00323333 0.0197227 8.27352e-05 4.03345 4.04399
0.00347172 0.0240465 9.00456e-05 4.02525 4.03722
0.00371014 0.0291373 9.7114e-05 4.016 4.02932
0.00394857 0.0350989 0.000103814 4.00559 4.02015
0.00418701 0.0420462 0.000109953 3.99387 4.00951
0.00442546 0.0500872 0.000115336 3.98068 3.99721
0.00466392 0.0593451 0.000119845 3.96581 3.98303
0.00490238 0.0699189 0.000123471 3.94905 3.96678
0.00514086 0.0819009 0.000126289 3.93011 3.94818
0.00537934 0.0953235 0.000128417 3.90868 3.92686
0.00561783 0.110212 0.000130016 3.88439 3.90252
0.00585632 0.126473 0.000131243 3.85682 3.87483
0.00609482 0.144036 0.000132238 3.82548 3.84328
0.00633332 0.162654 0.000133109 3.78986 3.80738
0.00657182 0.182151 0.00013394 3.74934 3.76649
0.00681033 0.202158 0.000134758 3.70341 3.72017
0.00704884 0.222422 0.00013556 3.65134 3.66764
0.00728736 0.242623 0.000136267 3.59273 3.60853
0.00752587 0.262476 0.00013675 3.52643 3.54167
0.00776439 0.281906 0.000136813 3.45214 3.46675
0.00800291 0.300658 0.000136173 3.36737 3.38126
0.00824144 0.319011 0.000134524 3.27071 3.28376
0.00847996 0.336837 0.000131408 3.15755 3.16961
0.00871849 0.354439 0.000126441 3.01908 3.03001
0.00895702 0.371476 0.000118853 2.84638 2.85603
0.00919555 0.389079 0.000108964 2.59346 2.6011
0.00943408 0.408445 0.00010063 2.1755 2.17988
