X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.0825754 0.000149262 4.67006 4.69971
0.000376525 0.0834528 0.000188573 4.66919 4.70824
0.000613858 0.085035 0.000214738 4.66727 4.71251
0.000851483 0.0873053 0.00023371 4.6645 4.71411
0.00108931 0.0903129 0.000249613 4.66079 4.71393
0.00132727 0.0940696 0.000264541 4.6561 4.71244
0.00156534 0.0986067 0.000279696 4.65037 4.7099
0.00180349 0.103916 0.000295842 4.64354 4.70642
0.0020417 0.110052 0.000313512 4.63551 4.70194
0.00227996 0.116973 0.000333064 4.62617 4.69642
0.00251826 0.124698 0.000354715 4.6154 4.68976
0.00275659 0.133164 0.000378509 4.60309 4.6816
0.00299495 0.142318 0.000404284 4.58937 4.67031
0.00323333 0.15197 0.000431622 4.57414 4.65472
0.00347172 0.162073 0.000459877 4.557 4.63658
0.00371014 0.172476 0.000488174 4.53776 4.61621
0.00394857 0.183134 0.00051555 4.51626 4.59356
0.00418701 0.193929 0.000541005 4.49242 4.56856
0.00442546 0.2048 0.000563698 4.46609 4.54109
0.00466392 0.21563 0.000582967 4.43718 4.51102
0.00490238 0.226377 0.000598459 4.40557 4.47829
0.00514086 0.23692 0.000609999 4.37119 4.44279
0.00537934 0.24728 0.000617698 4.33385 4.40438
0.00561783 0.257328 0.000621679 4.29352 4.36298
0.00585632 0.267171 0.00062227 4.24985 4.3183
0.00609482 0.27664 0.000619634 4.20289 4.27033
0.00633332 0.285936 0.000614132 4.15191 4.21839
0.00657182 0.294847 0.000605817 4.09727 4.1628
0.00681033 0.303615 0.000594998 4.03727 4.10191
0.00704884 0.31208 0.000581559 3.97338 4.03714
0.00728736 0.320477 0.000565723 3.9012 3.96416
0.00752587 0.32857 0.000547145 3.82579 3.88802
0.00776439 0.336777 0.000526039 3.73513 3.79671
0.00800291 0.344818 0.000501634 3.6443 3.70522
0.00824144 0.353136 0.000473813 3.52254 3.58299
0.00847996 0.361555 0.000441077 3.40422 3.46305
0.00871849 0.370334 0.000403108 3.22169 3.27869
0.00895702 0.379468 0.000356592 3.05098 3.10168
0.00919555 0.390074 0.000301738 2.71675 2.75872
0.00943408 0.403376 0.000238742 2.25348 2.28092
