X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.200874 0.000288229 5.2118 5.27696
0.000376525 0.201951 0.000302011 5.21049 5.27952
0.000613858 0.203941 0.000309267 5.2082 5.27906
0.000851483 0.206772 0.000314031 5.20481 5.27662
0.00108931 0.210511 0.00031816 5.2002 5.27264
0.00132727 0.215072 0.00032238 5.19428 5.26724
0.00156534 0.220457 0.000327077 5.18697 5.26045
0.00180349 0.226573 0.000332426 5.17814 5.25219
0.0020417 0.233349 0.000338529 5.16769 5.24238
0.00227996 0.240713 0.000345412 5.15546 5.23088
0.00251826 0.248577 0.000353045 5.14133 5.21756
0.00275659 0.256823 0.000361332 5.12518 5.20229
0.00299495 0.265346 0.00037012 5.10691 5.18494
0.00323333 0.274035 0.000379192 5.08645 5.16541
0.00347172 0.282793 0.000388271 5.06377 5.1436
0.00371014 0.291554 0.000397079 5.03883 5.11943
0.00394857 0.30025 0.000405293 5.01166 5.09288
0.00418701 0.308792 0.000412632 4.98235 5.06387
0.00442546 0.317181 0.000418834 4.95083 5.03202
0.00466392 0.325381 0.000423731 4.91682 4.99733
0.00490238 0.333416 0.000427207 4.88021 4.95982
0.00514086 0.341213 0.000429197 4.8409 4.91952
0.00537934 0.348822 0.000429718 4.79875 4.8763
0.00561783 0.356151 0.000428729 4.7537 4.83013
0.00585632 0.36331 0.000426337 4.70537 4.78059
0.00609482 0.370173 0.000422482 4.65404 4.72792
0.00633332 0.376917 0.000417309 4.59913 4.67123
0.00657182 0.383394 0.000410698 4.54041 4.61012
0.00681033 0.389854 0.000402848 4.47581 4.54279
0.00704884 0.396067 0.000393495 4.4073 4.47134
0.00728736 0.402324 0.000382856 4.32965 4.39048
0.00752587 0.40838 0.000370457 4.2491 4.3065
0.00776439 0.414554 0.00035656 4.1513 4.20497
0.00800291 0.420628 0.000340323 4.05466 4.10435
0.00824144 0.426903 0.000322044 3.92252 3.96791
0.00847996 0.433268 0.000300176 3.79976 3.8406
0.00871849 0.439878 0.000274865 3.60212 3.638
0.00895702 0.44672 0.000243023 3.41532 3.44613
0.00919555 0.454302 0.000204842 3.05343 3.07689
0.00943408 0.46343 0.000161305 2.55556 2.56748
